0.000000	625.010526	654.538947	656.285263	674.089474
0.100000	632.615789	654.592632	661.006316	674.052632
0.200000	683.571579	654.634737	663.140000	674.018947
0.300000	727.355789	654.670526	671.144211	673.986316
0.400000	770.663158	656.233684	676.148421	674.057895
0.500000	813.066316	656.958947	678.583158	674.150526
0.600000	864.163158	659.887368	681.607368	674.170526
0.700000	919.761053	662.160000	683.274737	674.164211
0.800000	936.297895	669.715789	686.112632	674.173684
0.900000	984.753684	673.282105	687.908421	673.448421
1.000000	1006.556842	677.147368	692.045263	671.722105
1.100000	1060.436316	679.567368	697.211579	670.262105
1.200000	1134.707895	682.031579	700.850526	668.505263
1.300000	1179.205263	684.778947	702.288421	667.063158
1.400000	1212.612105	686.361053	704.843158	666.210526
1.500000	1250.987368	691.561053	710.277895	664.825263
1.600000	1281.135789	696.452632	710.887368	663.150526
1.700000	1311.541053	698.085263	711.468421	660.684211
1.800000	1334.200526	699.093684	716.852632	658.820000
1.900000	1384.880526	700.832632	721.076842	657.347368
2.000000	1439.795789	705.821053	724.769474	655.596842
2.100000	1496.745263	708.117895	729.270526	655.094737
2.200000	1607.789474	708.128421	737.236842	654.684211
2.300000	1716.556842	714.453684	745.494737	652.932632
2.400000	1825.423684	719.308421	752.903158	651.575789
2.500000	1860.883684	724.543158	750.484211	649.284211
2.600000	1865.552632	728.830526	749.981053	647.647368
2.700000	1866.061053	733.200000	750.045263	647.372632
2.800000	1866.545263	738.317895	750.114737	645.902105
2.900000	1867.062105	742.564211	750.181053	644.292632
3.000000	1867.616316	748.187368	750.284211	641.415789
3.100000	1868.020526	745.942105	750.374737	634.928421
3.200000	1868.547895	745.642105	750.416842	633.433684
3.300000	1868.765263	745.647368	750.467368	633.370526
3.400000	1868.863158	745.605263	750.576842	633.342105
3.500000	1868.985789	745.613684	750.660000	633.291579
3.600000	1869.087368	745.629474	750.791579	633.230526
3.700000	1869.065789	745.673684	750.933684	633.134737
3.800000	1869.021053	745.728421	751.056842	633.034737
3.900000	1869.015263	745.743158	751.173684	632.970526
4.000000	1868.831053	745.790526	751.201053	632.960000
4.100000	1868.858421	745.811579	751.194737	632.985263
4.200000	1868.938947	745.847368	751.247368	633.030526
4.300000	1869.469474	745.922105	751.247368	633.081053
4.400000	1870.049474	746.040000	751.166316	633.087368
4.500000	1870.691053	746.083158	751.096842	633.083158
4.600000	1871.337895	746.117895	750.984211	633.120000
4.700000	1872.075263	746.112632	750.865263	633.208421
4.800000	1872.943684	746.095789	750.781053	633.327368
4.900000	1873.671053	746.197895	750.720000	633.401053
5.000000	1874.473684	746.283158	750.722105	633.405263
5.100000	1875.124737	746.386316	750.715789	633.390526
5.200000	1875.537895	746.457895	750.601053	633.400000
5.300000	1875.693158	746.527368	750.561053	633.393684
5.400000	1875.772632	746.551579	750.550526	633.378947
5.500000	1875.760526	746.629474	750.549474	633.386316
5.600000	1875.740000	746.751579	750.597895	633.346316
5.700000	1875.762632	746.877895	750.630526	633.293684
5.800000	1875.532105	746.972632	750.642105	633.214737
5.900000	1875.319474	747.028421	750.606316	633.144211
6.000000	1875.225263	747.111579	750.582105	633.093684
6.100000	1875.193684	747.097895	750.637895	633.053684
6.200000	1875.340526	747.134737	750.806316	632.991579
6.300000	1875.572105	747.160000	750.934737	632.918947
6.400000	1876.044737	747.267368	751.097895	632.886316
6.500000	1876.613684	747.387368	751.236842	632.843158
6.600000	1877.208421	747.470526	751.302105	632.824211
6.700000	1877.691579	747.575789	751.364211	632.801053
6.800000	1878.374211	747.723158	751.411579	632.763158
6.900000	1879.142632	747.791579	751.482105	632.720000
7.000000	1879.914211	747.858947	751.534737	632.700000
7.100000	1880.725263	748.061053	751.551579	632.676842
7.200000	1881.472632	748.194737	751.548421	632.646316
7.300000	1881.929474	748.310526	751.496842	632.644211
7.400000	1881.927368	748.386316	751.390526	632.613684
7.500000	1882.013684	748.400000	751.317895	632.604211
7.600000	1882.086842	748.357895	751.294737	632.551579
7.700000	1882.186842	748.277895	751.289474	632.515789
7.800000	1882.124211	748.148421	751.283158	632.526316
7.900000	1882.044737	748.089474	751.280000	632.583158
8.000000	1881.668421	747.980000	751.240000	632.614737
8.100000	1881.253684	747.789474	751.191579	632.664211
8.200000	1880.847895	747.642105	751.088421	632.730526
8.300000	1880.874211	747.516842	751.065263	632.782105
8.400000	1881.214737	747.362105	751.086316	632.840000
8.500000	1881.307895	747.248421	751.031579	632.857895
8.600000	1881.389474	747.191579	750.940000	632.914737
8.700000	1881.508947	747.186316	750.864211	632.944211
8.800000	1881.758947	747.231579	750.826316	632.952632
8.900000	1881.997895	747.275789	750.826316	632.932632
9.000000	1882.517368	747.372632	750.881053	632.924211
9.100000	1882.925789	747.487368	750.922105	632.869474
9.200000	1883.488421	747.587368	751.023158	632.806316
9.300000	1883.577368	747.695789	751.072632	632.745263
9.400000	1883.797368	747.801053	751.148421	632.676842
9.500000	1884.055263	747.905263	751.270526	632.642105
9.600000	1884.272632	748.054737	751.484211	632.612632
9.700000	1884.476316	748.192632	751.643158	632.630526
9.800000	1884.693684	748.332632	751.769474	632.628421
9.900000	1884.892105	748.481053	751.887368	632.605263
10.000000	1885.199474	748.549474	752.024211	632.592632
10.100000	1885.690526	748.667368	752.191579	632.646316
10.200000	1885.903684	748.776842	752.342105	632.722105
10.300000	1886.381579	748.877895	752.570526	632.815789
10.400000	1886.580526	749.034737	752.733684	632.921053
10.500000	1886.930000	749.181053	752.922105	633.016842
10.600000	1887.415789	749.236842	753.013684	633.106316
10.700000	1887.801053	749.268421	753.171579	633.141053
