Время	Канал A
(uс)	(В)

-10.25216079	0.00570696
-10.23216079	0.00570696
-10.21216079	0.00570696
-10.19216079	0.00570696
-10.17216079	0.00570696
-10.15216079	0.01464888
-10.13216079	0.00570696
-10.11216079	0.00570696
-10.09216079	0.00570696
-10.07216079	0.00570696
-10.05216079	0.00570696
-10.03216079	0.00570696
-10.01216079	0.00570696
-9.99216079	0.00570696
-9.97216079	0.00570696
-9.95216079	0.00570696
-9.93216079	0.00570696
-9.91216079	0.00570696
-9.89216079	0.01464888
-9.87216079	0.01464888
-9.85216079	0.00570696
-9.83216079	0.01464888
-9.81216079	0.00570696
-9.79216079	0.01464888
-9.77216079	0.00570696
-9.75216079	0.00570696
-9.73216079	0.00570696
-9.71216079	0.00570696
-9.69216079	0.00570696
-9.67216079	0.00570696
-9.65216080	0.00570696
-9.63216080	0.00570696
-9.61216080	0.01464888
-9.59216080	0.00570696
-9.57216080	0.00570696
-9.55216080	0.00570696
-9.53216080	0.00570696
-9.51216080	0.00570696
-9.49216080	0.00570696
-9.47216080	0.00570696
-9.45216080	0.00570696
-9.43216080	0.00570696
-9.41216080	0.00570696
-9.39216080	0.01464888
-9.37216080	0.00570696
-9.35216080	0.00570696
-9.33216080	0.00570696
-9.31216080	0.00570696
-9.29216080	0.01464888
-9.27216080	0.00570696
-9.25216080	0.00570696
-9.23216080	0.00570696
-9.21216080	0.00570696
-9.19216080	0.01464888
-9.17216080	0.01464888
-9.15216080	0.00570696
-9.13216080	0.01464888
-9.11216080	0.01464888
-9.09216080	0.01464888
-9.07216080	0.01464888
-9.05216080	0.01464888
-9.03216080	0.01464888
-9.01216080	0.00570696
-8.99216080	0.00570696
-8.97216080	0.00570696
-8.95216080	0.00570696
-8.93216080	0.01464888
-8.91216080	0.01464888
-8.89216080	0.01464888
-8.87216080	0.00570696
-8.85216080	0.01464888
-8.83216080	0.01464888
-8.81216080	0.01464888
-8.79216080	0.01464888
-8.77216080	0.00570696
-8.75216080	0.00570696
-8.73216080	0.00570696
-8.71216080	0.00570696
-8.69216080	0.00570696
-8.67216080	0.00570696
-8.65216080	0.00570696
-8.63216080	0.00570696
-8.61216080	0.00570696
-8.59216080	0.01464888
-8.57216080	0.00570696
-8.55216080	0.00570696
-8.53216080	0.00570696
-8.51216080	0.00570696
-8.49216080	0.00570696
-8.47216080	0.00570696
-8.45216080	0.01464888
-8.43216080	0.01464888
-8.41216080	0.00570696
-8.39216080	0.00570696
-8.37216080	0.01464888
-8.35216080	0.01464888
-8.33216080	0.01464888
-8.31216080	0.01464888
-8.29216080	0.01464888
-8.27216080	0.00570696
-8.25216080	0.00570696
-8.23216080	0.01464888
-8.21216080	0.01464888
-8.19216080	0.01464888
