Время	Канал A
(uс)	(В)

-10.24435642	0.01464888
-10.22435642	0.01464888
-10.20435642	0.01464888
-10.18435642	0.01464888
-10.16435642	0.01464888
-10.14435642	0.01464888
-10.12435642	0.01464888
-10.10435642	0.00570696
-10.08435642	0.01464888
-10.06435642	0.01464888
-10.04435642	0.01464888
-10.02435642	0.01464888
-10.00435642	0.01464888
-9.98435642	0.01464888
-9.96435642	0.01464888
-9.94435642	0.01464888
-9.92435642	0.01464888
-9.90435642	0.01464888
-9.88435642	0.00570696
-9.86435642	0.01464888
-9.84435642	0.01464888
-9.82435642	0.00570696
-9.80435642	0.01464888
-9.78435642	0.00570696
-9.76435642	0.01464888
-9.74435642	0.00570696
-9.72435642	0.01464888
-9.70435642	0.01464888
-9.68435642	0.01464888
-9.66435642	0.00570696
-9.64435642	0.01464888
-9.62435642	0.01464888
-9.60435642	0.00570696
-9.58435642	0.01464888
-9.56435642	0.00570696
-9.54435642	0.00570696
-9.52435642	0.00570696
-9.50435642	0.01464888
-9.48435642	0.01464888
-9.46435642	0.00570696
-9.44435642	0.01464888
-9.42435642	0.01464888
-9.40435642	0.00570696
-9.38435642	0.01464888
-9.36435642	0.01464888
-9.34435642	0.00570696
-9.32435642	0.00570696
-9.30435642	0.00570696
-9.28435642	0.00570696
-9.26435642	0.00570696
-9.24435642	0.00570696
-9.22435642	0.00570696
-9.20435642	0.00570696
-9.18435642	0.01464888
-9.16435642	0.00570696
-9.14435642	0.00570696
-9.12435642	0.01464888
-9.10435642	0.00570696
-9.08435642	0.00570696
-9.06435642	0.00570696
-9.04435642	0.00570696
-9.02435642	0.00570696
-9.00435642	0.00570696
-8.98435643	0.00570696
-8.96435643	0.00570696
-8.94435643	0.00570696
-8.92435643	0.01464888
-8.90435643	0.00570696
-8.88435643	0.00570696
-8.86435643	0.00570696
-8.84435643	0.00570696
-8.82435643	0.00570696
-8.80435643	0.00570696
-8.78435643	0.00570696
-8.76435643	0.00570696
-8.74435643	0.00570696
-8.72435643	0.00570696
-8.70435643	0.00570696
-8.68435643	0.00570696
-8.66435643	0.00570696
-8.64435643	0.00570696
-8.62435643	0.00570696
-8.60435643	0.00570696
-8.58435643	0.00570696
-8.56435643	0.00570696
-8.54435643	0.00570696
-8.52435643	0.00570696
-8.50435643	0.00570696
-8.48435643	0.00570696
-8.46435643	0.00570696
-8.44435643	0.00570696
-8.42435643	0.00570696
-8.40435643	0.00570696
-8.38435643	0.00570696
-8.36435643	0.00570696
-8.34435643	0.00570696
-8.32435643	0.00570696
-8.30435643	0.00570696
-8.28435643	0.00570696
-8.26435643	0.00570696
-8.24435643	0.00570696
-8.22435643	0.00570696
-8.20435643	0.00570696
-8.18435643	0.00570696
