Время	Канал A
(uс)	(В)

-10.24725043	0.01464888
-10.22725043	0.01464888
-10.20725043	0.01464888
-10.18725043	0.01464888
-10.16725043	0.01464888
-10.14725043	0.01464888
-10.12725043	0.01464888
-10.10725043	0.01464888
-10.08725043	0.01464888
-10.06725043	0.01464888
-10.04725043	0.01464888
-10.02725043	0.01464888
-10.00725043	0.01464888
-9.98725043	0.01464888
-9.96725043	0.01464888
-9.94725043	0.01464888
-9.92725043	0.01464888
-9.90725043	0.01464888
-9.88725043	0.01464888
-9.86725043	0.01464888
-9.84725043	0.01464888
-9.82725043	0.01464888
-9.80725043	0.01464888
-9.78725043	0.01464888
-9.76725043	0.01464888
-9.74725043	0.01464888
-9.72725043	0.01464888
-9.70725043	0.01464888
-9.68725043	0.01464888
-9.66725043	0.01464888
-9.64725043	0.01464888
-9.62725043	0.01464888
-9.60725043	0.01464888
-9.58725043	0.01464888
-9.56725043	0.01464888
-9.54725043	0.01464888
-9.52725043	0.01464888
-9.50725043	0.01464888
-9.48725043	0.01464888
-9.46725043	0.01464888
-9.44725043	0.01464888
-9.42725043	0.01464888
-9.40725043	0.01464888
-9.38725043	0.01464888
-9.36725043	0.01464888
-9.34725043	0.01464888
-9.32725044	0.01464888
-9.30725044	0.01464888
-9.28725044	0.01464888
-9.26725044	0.01464888
-9.24725044	0.01464888
-9.22725044	0.01464888
-9.20725044	0.01464888
-9.18725044	0.01464888
-9.16725044	0.01464888
-9.14725044	0.01464888
-9.12725044	0.01464888
-9.10725044	0.01464888
-9.08725044	0.01464888
-9.06725044	0.01464888
-9.04725044	0.01464888
-9.02725044	0.01464888
-9.00725044	0.01464888
-8.98725044	0.01464888
-8.96725044	0.01464888
-8.94725044	0.01464888
-8.92725044	0.01464888
-8.90725044	0.01464888
-8.88725044	0.01464888
-8.86725044	0.01464888
-8.84725044	0.01464888
-8.82725044	0.01464888
-8.80725044	0.01464888
-8.78725044	0.01464888
-8.76725044	0.01464888
-8.74725044	0.01464888
-8.72725044	0.01464888
-8.70725044	0.01464888
-8.68725044	0.01464888
-8.66725044	0.01464888
-8.64725044	0.01464888
-8.62725044	0.01464888
-8.60725044	0.01464888
-8.58725044	0.01464888
-8.56725044	0.01464888
-8.54725044	0.01464888
-8.52725044	0.01464888
-8.50725044	0.01464888
-8.48725044	0.01464888
-8.46725044	0.01464888
-8.44725044	0.01464888
-8.42725044	0.01464888
-8.40725044	0.01464888
-8.38725044	0.01464888
-8.36725044	0.01464888
-8.34725044	0.01464888
-8.32725044	0.01464888
-8.30725044	0.01464888
-8.28725044	0.01464888
-8.26725044	0.01464888
-8.24725044	0.01464888
-8.22725044	0.01464888
-8.20725044	0.01464888
-8.18725044	0.01464888
