Время	Канал A
(uс)	(В)

-10.25954316	0.00570696
-10.23954316	0.00570696
-10.21954316	0.01464888
-10.19954316	0.01464888
-10.17954316	0.00570696
-10.15954316	0.01464888
-10.13954316	0.01464888
-10.11954316	0.00570696
-10.09954316	0.01464888
-10.07954316	0.00570696
-10.05954316	0.01464888
-10.03954316	0.01464888
-10.01954316	0.00570696
-9.99954316	0.00570696
-9.97954316	0.00570696
-9.95954316	0.00570696
-9.93954316	0.01464888
-9.91954316	0.00570696
-9.89954316	0.01464888
-9.87954316	0.00570696
-9.85954316	0.01464888
-9.83954316	0.00570696
-9.81954316	0.00570696
-9.79954316	0.00570696
-9.77954316	0.01464888
-9.75954316	0.00570696
-9.73954316	0.00570696
-9.71954316	0.01464888
-9.69954316	0.00570696
-9.67954316	0.01464888
-9.65954316	0.00570696
-9.63954316	0.01464888
-9.61954316	0.01464888
-9.59954316	0.01464888
-9.57954316	0.01464888
-9.55954316	0.01464888
-9.53954316	0.01464888
-9.51954316	0.00570696
-9.49954316	0.01464888
-9.47954316	0.01464888
-9.45954316	0.00570696
-9.43954316	0.01464888
-9.41954317	0.01464888
-9.39954317	0.01464888
-9.37954317	0.00570696
-9.35954317	0.01464888
-9.33954317	0.01464888
-9.31954317	0.00570696
-9.29954317	0.01464888
-9.27954317	0.01464888
-9.25954317	0.00570696
-9.23954317	0.00570696
-9.21954317	0.01464888
-9.19954317	0.00570696
-9.17954317	0.01464888
-9.15954317	0.00570696
-9.13954317	0.01464888
-9.11954317	0.01464888
-9.09954317	0.01464888
-9.07954317	0.01464888
-9.05954317	0.00570696
-9.03954317	0.01464888
-9.01954317	0.00570696
-8.99954317	0.01464888
-8.97954317	0.01464888
-8.95954317	0.01464888
-8.93954317	0.00570696
-8.91954317	0.01464888
-8.89954317	0.01464888
-8.87954317	0.00570696
-8.85954317	0.01464888
-8.83954317	0.01464888
-8.81954317	0.01464888
-8.79954317	0.01464888
-8.77954317	0.01464888
-8.75954317	0.01464888
-8.73954317	0.01464888
-8.71954317	0.01464888
-8.69954317	0.00570696
-8.67954317	0.00570696
-8.65954317	0.01464888
-8.63954317	0.01464888
-8.61954317	0.01464888
-8.59954317	0.01464888
-8.57954317	0.01464888
-8.55954317	0.00570696
-8.53954317	0.01464888
-8.51954317	0.01464888
-8.49954317	0.01464888
-8.47954317	0.01464888
-8.45954317	0.00570696
-8.43954317	0.01464888
-8.41954317	0.01464888
-8.39954317	0.01464888
-8.37954317	0.01464888
-8.35954317	0.01464888
-8.33954317	0.01464888
-8.31954317	0.01464888
-8.29954317	0.01464888
-8.27954317	0.01464888
-8.25954317	0.01464888
-8.23954317	0.01464888
-8.21954317	0.01464888
-8.19954317	0.01464888
