Время,Канал A
(uс),(В)

-10.24171615,0.00570696
-10.22171615,0.00570696
-10.20171615,0.00570696
-10.18171615,0.00570696
-10.16171615,0.00570696
-10.14171615,0.00570696
-10.12171615,0.01464888
-10.10171616,0.00570696
-10.08171616,0.01464888
-10.06171616,0.01464888
-10.04171616,0.00570696
-10.02171616,0.00570696
-10.00171616,0.00570696
-9.98171616,0.00570696
-9.96171616,0.00570696
-9.94171616,0.00570696
-9.92171616,0.00570696
-9.90171616,0.00570696
-9.88171616,0.00570696
-9.86171616,0.00570696
-9.84171616,0.00570696
-9.82171616,0.00570696
-9.80171616,0.01464888
-9.78171616,0.00570696
-9.76171616,0.00570696
-9.74171616,0.00570696
-9.72171616,0.00570696
-9.70171616,0.00570696
-9.68171616,0.00570696
-9.66171616,0.00570696
-9.64171616,0.00570696
-9.62171616,0.00570696
-9.60171616,0.00570696
-9.58171616,0.01464888
-9.56171616,0.01464888
-9.54171616,0.00570696
-9.52171616,0.00570696
-9.50171616,0.00570696
-9.48171616,0.00570696
-9.46171616,0.00570696
-9.44171616,0.01464888
-9.42171616,0.00570696
-9.40171616,0.00570696
-9.38171616,0.01464888
-9.36171616,0.00570696
-9.34171616,0.00570696
-9.32171616,0.01464888
-9.30171616,0.01464888
-9.28171616,0.00570696
-9.26171616,0.01464888
-9.24171616,0.00570696
-9.22171616,0.01464888
-9.20171616,0.01464888
-9.18171616,0.00570696
-9.16171616,0.01464888
-9.14171616,0.01464888
-9.12171616,0.00570696
-9.10171616,0.00570696
-9.08171616,0.01464888
-9.06171616,0.01464888
-9.04171616,0.01464888
-9.02171616,0.01464888
-9.00171616,0.01464888
-8.98171616,0.01464888
-8.96171616,0.01464888
-8.94171616,0.01464888
-8.92171616,0.01464888
-8.90171616,0.00570696
-8.88171616,0.00570696
-8.86171616,0.01464888
-8.84171616,0.00570696
-8.82171616,0.00570696
-8.80171616,0.01464888
-8.78171616,0.01464888
-8.76171616,0.01464888
-8.74171616,0.01464888
-8.72171616,0.01464888
-8.70171616,0.01464888
-8.68171616,0.01464888
-8.66171616,0.01464888
-8.64171616,0.00570696
-8.62171616,0.01464888
-8.60171616,0.01464888
-8.58171616,0.01464888
-8.56171616,0.01464888
-8.54171616,0.01464888
-8.52171616,0.01464888
-8.50171616,0.01464888
-8.48171616,0.01464888
-8.46171617,0.01464888
-8.44171617,0.01464888
-8.42171617,0.00570696
-8.40171617,0.01464888
-8.38171617,0.00570696
-8.36171617,0.00570696
-8.34171617,0.00570696
-8.32171617,0.01464888
-8.30171617,0.01464888
-8.28171617,0.00570696
-8.26171617,0.01464888
-8.24171617,0.01464888
-8.22171617,0.01464888
-8.20171617,0.01464888
-8.18171617,0.01464888
