  24.000        137.00	    16.553
  24.010        156.50	    17.692
  24.020        135.50	    16.462
  24.030        145.50	    17.059
  24.040        154.00	    17.550
  24.050        140.00	    16.733
  24.060        157.50	    17.748
  24.070        159.00	    17.833
  24.080        141.00	    16.793
  24.090        160.00	    17.889
  24.100        144.50	    17.000
  24.110        141.00	    16.793
  24.120        142.00	    16.852
  24.130        147.00	    17.146
  24.140        155.00	    17.607
  24.150        138.50	    16.643
  24.160        142.50	    16.882
  24.170        144.50	    17.000
  24.180        135.50	    16.462
  24.190        149.00	    17.263
  24.200        147.50	    17.176
  24.210        152.00	    17.436
  24.220        141.50	    16.823
  24.230        150.50	    17.349
  24.240        140.50	    16.763
  24.250        147.00	    17.146
  24.260        158.00	    17.776
  24.270        141.00	    16.793
  24.280        140.00	    16.733
  24.290        161.50	    17.972
  24.300        161.00	    17.944
  24.310        150.00	    17.321
  24.320        127.00	    15.937
  24.330        139.00	    16.673
  24.340        139.00	    16.673
  24.350        152.50	    17.464
  24.360        144.50	    17.000
  24.370        127.50	    15.969
  24.380        146.00	    17.088
  24.390        148.00	    17.205
  24.400        139.00	    16.673
  24.410        152.00	    17.436
  24.420        159.50	    17.861
  24.430        155.50	    17.635
  24.440        147.50	    17.176
  24.450        155.50	    17.635
  24.460        154.00	    17.550
  24.470        146.00	    17.088
  24.480        152.00	    17.436
  24.490        168.00	    18.330
  24.500        176.00	    18.762
  24.510        177.50	    18.841
  24.520        141.50	    16.823
  24.530        162.50	    18.028
  24.540        147.00	    17.146
  24.550        141.50	    16.823
  24.560        149.50	    17.292
  24.570        137.00	    16.553
  24.580        149.00	    17.263
  24.590        148.00	    17.205
  24.600        144.00	    16.971
  24.610        139.50	    16.703
  24.620        145.00	    17.029
  24.630        133.00	    16.310
  24.640        150.50	    17.349
  24.650        139.50	    16.703
  24.660        149.50	    17.292
  24.670        164.50	    18.138
  24.680        128.00	    16.000
  24.690        147.00	    17.146
  24.700        135.50	    16.462
  24.710        137.50	    16.583
  24.720        143.50	    16.941
  24.730        138.00	    16.613
  24.740        142.00	    16.852
  24.750        137.00	    16.553
  24.760        140.00	    16.733
  24.770        143.00	    16.912
  24.780        131.00	    16.186
  24.790        159.00	    17.833
  24.800        144.50	    17.000
  24.810        135.50	    16.462
  24.820        150.50	    17.349
  24.830        160.50	    17.916
  24.840        152.00	    17.436
  24.850        148.50	    17.234
  24.860        123.50	    15.716
  24.870        134.00	    16.371
  24.880        146.00	    17.088
  24.890        142.50	    16.882
  24.900        139.00	    16.673
  24.910        130.00	    16.125
  24.920        141.00	    16.793
  24.930        145.50	    17.059
  24.940        153.00	    17.493
  24.950        126.50	    15.906
  24.960        125.00	    15.811
  24.970        140.50	    16.763
  24.980        136.50	    16.523
  24.990        142.50	    16.882
  25.000        131.00	    16.186
  25.010        125.50	    15.843
  25.020        135.50	    16.462
  25.030        140.50	    16.763
  25.040        139.50	    16.703
  25.050        131.00	    16.186
  25.060        143.00	    16.912
  25.070        128.50	    16.031
  25.080        139.00	    16.673
  25.090        139.00	    16.673
  25.100        140.00	    16.733
  25.110        141.50	    16.823
  25.120        140.00	    16.733
  25.130        147.00	    17.146
  25.140        122.50	    15.652
  25.150        138.50	    16.643
  25.160        126.00	    15.875
  25.170        125.00	    15.811
  25.180        139.50	    16.703
  25.190        145.00	    17.029
  25.200        129.50	    16.093
  25.210        116.00	    15.232
  25.220        146.50	    17.117
  25.230        150.00	    17.321
  25.240        137.00	    16.553
  25.250        127.00	    15.937
  25.260        137.00	    16.553
  25.270        139.00	    16.673
  25.280        142.50	    16.882
  25.290        153.00	    17.493
  25.300        139.50	    16.703
  25.310        143.50	    16.941
  25.320        170.50	    18.466
  25.330        150.00	    17.321
  25.340        168.00	    18.330
  25.350        164.00	    18.111
  25.360        175.50	    18.735
  25.370        163.00	    18.055
  25.380        170.00	    18.439
  25.390        168.00	    18.330
  25.400        183.00	    19.131
  25.410        188.00	    19.391
  25.420        184.00	    19.183
  25.430        181.00	    19.026
  25.440        192.00	    19.596
  25.450        201.00	    20.050
  25.460        190.00	    19.494
  25.470        224.00	    21.166
  25.480        212.50	    20.616
  25.490        243.50	    22.068
  25.500        272.00	    23.324
  25.510        331.00	    25.729
  25.520        414.50	    28.792
  25.530        548.50	    33.121
  25.540        715.50	    37.829
  25.550        954.00	    43.681
  25.560       1282.50	    50.646
  25.570       1572.00	    56.071
  25.580       1702.00	    58.344
  25.590       1718.50	    58.626
  25.600       1430.50	    53.488
  25.610       1146.00	    47.875
  25.620        916.00	    42.802
  25.630        866.50	    41.629
  25.640        940.50	    43.370
  25.650        899.50	    42.415
  25.660        809.50	    40.237
  25.670        623.50	    35.313
  25.680        414.50	    28.792
  25.690        283.00	    23.791
  25.700        224.50	    21.190
  25.710        222.00	    21.071
  25.720        211.00	    20.543
  25.730        201.50	    20.075
  25.740        191.00	    19.545
  25.750        200.00	    20.000
  25.760        200.50	    20.025
  25.770        206.00	    20.298
  25.780        194.50	    19.723
  25.790        183.50	    19.157
  25.800        177.50	    18.841
  25.810        174.00	    18.655
  25.820        165.00	    18.166
  25.830        161.00	    17.944
  25.840        155.50	    17.635
  25.850        147.00	    17.146
  25.860        148.50	    17.234
  25.870        146.00	    17.088
  25.880        138.50	    16.643
  25.890        138.00	    16.613
  25.900        138.50	    16.643
  25.910        126.50	    15.906
  25.920        113.50	    15.067
  25.930        141.00	    16.793
  25.940        125.50	    15.843
  25.950        140.50	    16.763
  25.960        139.00	    16.673
  25.970        123.00	    15.684
  25.980        130.00	    16.125
  25.990        120.50	    15.524
  26.000        120.50	    15.524
  26.010        131.50	    16.217
  26.020        134.00	    16.371
  26.030        128.50	    16.031
  26.040        124.00	    15.748
  26.050        138.50	    16.643
  26.060        123.00	    15.684
  26.070        123.00	    15.684
  26.080        123.00	    15.684
  26.090        135.00	    16.432
  26.100        123.00	    15.684
  26.110        120.00	    15.492
  26.120        127.50	    15.969
  26.130        123.50	    15.716
  26.140        131.00	    16.186
  26.150        129.50	    16.093
  26.160        117.50	    15.330
  26.170        128.50	    16.031
  26.180        124.50	    15.780
  26.190        122.00	    15.620
  26.200        131.00	    16.186
  26.210        128.50	    16.031
  26.220        121.00	    15.556
  26.230        136.50	    16.523
  26.240        128.00	    16.000
  26.250        110.50	    14.866
  26.260        133.00	    16.310
  26.270        126.50	    15.906
  26.280        129.00	    16.062
  26.290        118.50	    15.395
  26.300        118.50	    15.395
  26.310        125.50	    15.843
  26.320        111.00	    14.900
  26.330        123.00	    15.684
  26.340        128.50	    16.031
  26.350        121.00	    15.556
  26.360        115.50	    15.199
  26.370        126.00	    15.875
  26.380        122.00	    15.620
  26.390        126.00	    15.875
  26.400        114.50	    15.133
  26.410        114.50	    15.133
  26.420        136.50	    16.523
  26.430        117.50	    15.330
  26.440        143.50	    16.941
  26.450        136.50	    16.523
  26.460        123.00	    15.684
  26.470        129.50	    16.093
  26.480        132.50	    16.279
  26.490        126.00	    15.875
  26.500        113.50	    15.067
  26.510        137.00	    16.553
  26.520        139.00	    16.673
  26.530        139.00	    16.673
  26.540        139.00	    16.673
  26.550        122.00	    15.620
  26.560        107.00	    14.629
  26.570        130.00	    16.125
  26.580        133.50	    16.340
  26.590        134.00	    16.371
  26.600        118.50	    15.395
  26.610        118.50	    15.395
  26.620        136.50	    16.523
  26.630        131.50	    16.217
  26.640        129.50	    16.093
  26.650        144.50	    17.000
  26.660        117.00	    15.297
  26.670        141.50	    16.823
  26.680        117.00	    15.297
  26.690        131.00	    16.186
  26.700        120.00	    15.492
  26.710        123.00	    15.684
  26.720        122.00	    15.620
  26.730        133.00	    16.310
  26.740        134.50	    16.401
  26.750        122.00	    15.620
  26.760        132.50	    16.279
  26.770        133.00	    16.310
  26.780        105.50	    14.526
  26.790        128.00	    16.000
  26.800        133.50	    16.340
  26.810        118.00	    15.362
  26.820        122.00	    15.620
  26.830        127.00	    15.937
  26.840        120.00	    15.492
  26.850        113.50	    15.067
  26.860        124.00	    15.748
  26.870        118.50	    15.395
  26.880        122.50	    15.652
  26.890        110.50	    14.866
  26.900        123.00	    15.684
  26.910        128.50	    16.031
  26.920        123.00	    15.684
  26.930        129.50	    16.093
  26.940        132.50	    16.279
  26.950        106.50	    14.595
  26.960        118.00	    15.362
  26.970        110.00	    14.832
  26.980        120.00	    15.492
  26.990        120.50	    15.524
  27.000        130.50	    16.155
  27.010        132.50	    16.279
  27.020        118.00	    15.362
  27.030        119.00	    15.427
  27.040        121.00	    15.556
  27.050        117.50	    15.330
  27.060        118.50	    15.395
  27.070        110.50	    14.866
  27.080        122.50	    15.652
  27.090        126.00	    15.875
  27.100        115.00	    15.166
  27.110        131.50	    16.217
  27.120        119.00	    15.427
  27.130        114.50	    15.133
  27.140        103.00	    14.353
  27.150        119.50	    15.460
  27.160        120.00	    15.492
  27.170        105.50	    14.526
  27.180        115.50	    15.199
  27.190        116.00	    15.232
  27.200        108.50	    14.731
  27.210        134.50	    16.401
  27.220        126.00	    15.875
  27.230        121.00	    15.556
  27.240        114.50	    15.133
  27.250        117.50	    15.330
  27.260        119.00	    15.427
  27.270        124.50	    15.780
  27.280        121.00	    15.556
  27.290         97.00	    13.928
  27.300        105.00	    14.491
  27.310        127.50	    15.969
  27.320        123.00	    15.684
  27.330        121.00	    15.556
  27.340        117.50	    15.330
  27.350        122.50	    15.652
  27.360        123.50	    15.716
  27.370        122.00	    15.620
  27.380        116.00	    15.232
  27.390        107.00	    14.629
  27.400        123.00	    15.684
  27.410        127.00	    15.937
  27.420        113.50	    15.067
  27.430        130.50	    16.155
  27.440        119.00	    15.427
  27.450        120.50	    15.524
  27.460        115.50	    15.199
  27.470        107.50	    14.663
  27.480        114.00	    15.100
  27.490        115.50	    15.199
  27.500        120.00	    15.492
  27.510        122.00	    15.620
  27.520        115.50	    15.199
  27.530        117.00	    15.297
  27.540        110.50	    14.866
  27.550        110.00	    14.832
  27.560        102.50	    14.318
  27.570        107.50	    14.663
  27.580        114.50	    15.133
  27.590        114.00	    15.100
  27.600        117.00	    15.297
  27.610        115.50	    15.199
  27.620        114.00	    15.100
  27.630        112.00	    14.967
  27.640        109.00	    14.765
  27.650        100.50	    14.177
  27.660        123.00	    15.684
  27.670        115.50	    15.199
  27.680        122.50	    15.652
  27.690        116.00	    15.232
  27.700        104.50	    14.457
  27.710        114.00	    15.100
  27.720        120.00	    15.492
  27.730        127.00	    15.937
  27.740        115.00	    15.166
  27.750        113.50	    15.067
  27.760        115.00	    15.166
  27.770        118.50	    15.395
  27.780        124.00	    15.748
  27.790        116.50	    15.264
  27.800        119.50	    15.460
  27.810        115.00	    15.166
  27.820        115.50	    15.199
  27.830        118.00	    15.362
  27.840        113.50	    15.067
  27.850        121.00	    15.556
  27.860        117.50	    15.330
  27.870        112.50	    15.000
  27.880        111.00	    14.900
  27.890        119.50	    15.460
  27.900        114.00	    15.100
  27.910        116.50	    15.264
  27.920        109.00	    14.765
  27.930        125.00	    15.811
  27.940        103.50	    14.387
  27.950        121.50	    15.588
  27.960        114.00	    15.100
  27.970        111.50	    14.933
  27.980         96.50	    13.892
  27.990        115.00	    15.166
  28.000        114.00	    15.100
  28.010        118.00	    15.362
  28.020        105.00	    14.491
  28.030        119.50	    15.460
  28.040        132.50	    16.279
  28.050        112.50	    15.000
  28.060        117.00	    15.297
  28.070        103.00	    14.353
  28.080        106.00	    14.560
  28.090        120.50	    15.524
  28.100        102.50	    14.318
