25.10.2018   N1108
Образец: "23_V"
LiF200
Трубка: "40.0/0.100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2180     135    1092    67.3
   2185    67.3    1095    67.3
   2190    33.6    1097    67.3
   2195    33.6    1100    67.3
   2200    33.6    1102     0.0
   2205     0.0    1105    33.6
   2210     101    1107     0.0
   2215    67.3    1110     0.0
   2220    33.6    1112    33.6
   2225    33.6    1115    33.6
   2230    67.3    1117    33.6
   2235    67.3    1119     0.0
   2240     101    1122     0.0
   2245    33.6    1125     0.0
   2250    33.6    1127    33.6
   2255     101    1129    33.6
   2260     202    1132     0.0
   2265     269    1134     0.0
   2270    1211    1137     0.0
   2275    4070    1139     0.0
   2280    9653    1142    67.3
   2285   13050    1144    67.3
   2290    7769    1147     135
   2295    2321    1149     0.0
   2300     471    1152     0.0
   2305     370    1154    33.6
   2310     135    1157    33.6
   2315     269    1159    33.6
   2320     202    1162     0.0
   2325     269    1164    33.6
   2330     101    1167     0.0
   2335     303    1169    33.6
   2340    67.3    1172     0.0
   2345     101    1174     0.0
   2350    67.3    1177     0.0
   2355     202    1179     0.0
   2360    67.3    1182    33.6
   2365     0.0    1184     0.0
   2370    67.3    1187     0.0
   2375    33.6    1189    33.6
   2380     101    1192    33.6
   2385    67.3    1194    33.6
   2390     0.0    1197    33.6
   2395    67.3    1199     0.0
   2400     101    1202     0.0
   2405     135    1204    33.6
   2410     101    1207    33.6
   2415    67.3    1209    67.3
   2420    67.3    1212     0.0
   2425     101    1214     0.0
   2430    67.3    1216    33.6
   2435     101    1219    33.6
   2440     101    1221     0.0
   2445     101    1224     0.0
   2450    33.6    1226    33.6
   2455    67.3    1229     0.0
   2460    67.3    1231     0.0
   2465     135    1234    33.6
   2470     202    1236     0.0
   2475     202    1239    33.6
   2480     135    1241     0.0
   2485     673    1244    33.6
   2490     841    1246    67.3
   2495   11066    1249    33.6
   2500   33398    1251     269
   2505   44060    1254     572
   2510   21660    1256     168
   2515    3868    1259     0.0
   2520     605    1261     0.0
   2525     202    1264     0.0
   2530     303    1266     0.0
   2535     202    1269     0.0
   2540     101    1271     0.0
   2545     135    1274    33.6
   2550     135    1276     0.0
   2555    67.3    1279    33.6
   2560    67.3    1281    33.6
   2565    67.3    1284    33.6
   2570     101    1286     0.0
   2575    67.3    1289     0.0
   2580     135    1291     0.0
   2585    67.3    1294     0.0
   2590     0.0    1296     0.0
   2595    33.6    1299     0.0
   2600     0.0    1301     0.0
   2605    33.6    1304     0.0
   2610     0.0    1306     0.0
   2615     135    1309     101
   2620     0.0    1311    67.3
   2625     0.0    1314     0.0
   2630     0.0    1316     0.0
   2635     0.0    1319     0.0
   2640    33.6    1321     0.0
   2645     0.0    1324    33.6
   2650     0.0    1326    33.6
   2655    33.6    1328    67.3
   2660    33.6    1331    33.6
   2665     0.0    1333     0.0
   2670     0.0    1336    67.3
   2675     0.0    1338     0.0
   2680     0.0    1341     0.0
   2685     0.0    1343     0.0
   2690     0.0    1346    33.6
   2695    33.6    1348     0.0
   2700     0.0    1351    33.6
   2705     0.0    1353     0.0
   2710     0.0    1356     0.0
   2715    33.6    1358     0.0
   2720    67.3    1361     0.0
   2725     0.0    1363     0.0
   2730    33.6    1366    33.6
   2735    67.3    1368     0.0
   2740    33.6    1371     0.0
   2745     0.0    1373     0.0
   2750    33.6    1376     0.0
   2755     0.0    1378     0.0
   2760     0.0    1381     0.0
   2765     0.0    1383     0.0
   2770     0.0    1386     0.0
   2775     0.0    1388     0.0
   2780    33.6    1391    33.6
   2785     0.0    1393     0.0
   2790     0.0    1396    33.6
   2795     0.0    1398     0.0
   2800     0.0    1401    33.6
   2805     0.0    1403     0.0
   2810    33.6    1406     0.0
   2815     0.0    1408     0.0
   2820     0.0    1411     0.0
   2825    33.6    1413     0.0
   2830     0.0    1416     0.0
   2835     0.0    1418     0.0
   2840     0.0    1420    67.3
   2845     0.0    1423     0.0
   2850     0.0    1425     0.0
   2855     0.0    1428     0.0
   2860     0.0    1430     0.0
   2865     0.0    1433    67.3
   2870     0.0    1435     0.0
   2875     0.0    1438     0.0
   2880    33.6    1440     0.0
   2885     0.0    1443     0.0
   2890     0.0    1445     0.0
   2895    67.3    1448     0.0
   2900     0.0    1450     0.0
   2905     0.0    1453     0.0
   2910     0.0    1455     0.0
   2915     0.0    1458    33.6
   2920     0.0    1460     0.0
   2925     0.0    1463     0.0
   2930     0.0    1465     0.0
   2935     0.0    1468     0.0
   2940     0.0    1470     0.0
   2945    67.3    1473     0.0
   2950     0.0    1475     0.0
   2955     0.0    1478    33.6
   2960     0.0    1480     0.0
   2965     0.0    1483     0.0
   2970    33.6    1485     0.0
   2975     0.0    1488     0.0
   2980     0.0    1490     0.0
   2985     0.0    1493     0.0
   2990     0.0    1495     0.0
   2995     0.0    1498     0.0
   3000     0.0    1500     0.0
   3005     0.0    1503     0.0
   3010     0.0    1505     0.0
   3015     0.0    1508    33.6
   3020     0.0    1510     0.0
   3025     0.0    1513     0.0
   3030     0.0    1515     0.0
   3035     0.0    1518     0.0
   3040     0.0    1520     0.0
   3045     0.0    1523     0.0
   3050     0.0    1525     0.0
   3055    33.6    1528     0.0
   3060     0.0    1530     0.0
   3065     0.0    1533     0.0
   3070     0.0    1535     0.0
   3075     0.0    1538     0.0
   3080     0.0    1540     0.0
   3085     0.0    1543     101
   3090     0.0    1545     0.0
   3095     0.0    1548     0.0
   3100     0.0    1550     0.0
   3105     0.0    1553     0.0
   3110     0.0    1555     0.0
   3115     0.0    1558     0.0
   3120     0.0    1560     0.0
   3125     0.0    1562     0.0
   3130     0.0    1565     0.0
   3135     0.0    1568     0.0
   3140     0.0    1570     0.0
   3145     0.0    1573     0.0
   3150     0.0    1575     0.0
   3155     0.0    1577     0.0
   3160     0.0    1580     0.0
   3165     0.0    1583     0.0
   3170     0.0    1585    33.6
   3175     0.0    1587     0.0
   3180     0.0    1590     0.0
   3185     0.0    1592     0.0
   3190     0.0    1595     0.0
   3195     0.0    1597     0.0
   3200     0.0    1600     0.0
   3205     0.0    1602     0.0
   3210     0.0    1605     0.0
   3215     0.0    1607     0.0
