Время,Канал A
(uс),(В)

-10.25962774,0.00570696
-10.23962774,0.00570696
-10.21962774,0.00570696
-10.19962774,0.00570696
-10.17962774,0.00570696
-10.15962774,0.00570696
-10.13962774,0.00570696
-10.11962774,0.00570696
-10.09962774,0.00570696
-10.07962774,0.00570696
-10.05962774,0.00570696
-10.03962774,0.00570696
-10.01962774,0.00570696
-9.99962774,0.00570696
-9.97962774,0.00570696
-9.95962774,0.00570696
-9.93962774,0.00570696
-9.91962774,0.00570696
-9.89962775,0.00570696
-9.87962775,0.00570696
-9.85962775,0.00570696
-9.83962775,0.00570696
-9.81962775,0.00570696
-9.79962775,0.00570696
-9.77962775,0.00570696
-9.75962775,0.00570696
-9.73962775,0.00570696
-9.71962775,0.00570696
-9.69962775,0.00570696
-9.67962775,0.00570696
-9.65962775,0.00570696
-9.63962775,0.00570696
-9.61962775,0.00570696
-9.59962775,0.00570696
-9.57962775,0.00570696
-9.55962775,0.00570696
-9.53962775,0.00570696
-9.51962775,0.00570696
-9.49962775,0.00570696
-9.47962775,0.00570696
-9.45962775,0.00570696
-9.43962775,0.00570696
-9.41962775,0.00570696
-9.39962775,0.00570696
-9.37962775,0.00570696
-9.35962775,0.00570696
-9.33962775,0.00570696
-9.31962775,0.00570696
-9.29962775,0.00570696
-9.27962775,0.00570696
-9.25962775,0.00570696
-9.23962775,0.00570696
-9.21962775,0.00570696
-9.19962775,0.00570696
-9.17962775,0.00570696
-9.15962775,0.00570696
-9.13962775,0.00570696
-9.11962775,0.00570696
-9.09962775,0.00570696
-9.07962775,0.00570696
-9.05962775,0.00570696
-9.03962775,0.00570696
-9.01962775,0.00570696
-8.99962775,0.00570696
-8.97962775,0.00570696
-8.95962775,0.00570696
-8.93962775,0.00570696
-8.91962775,0.00570696
-8.89962775,0.00570696
-8.87962775,0.00570696
-8.85962775,0.00570696
-8.83962775,0.00570696
-8.81962775,0.00570696
-8.79962775,0.00570696
-8.77962775,0.00570696
-8.75962775,0.00570696
-8.73962775,0.01464888
-8.71962775,0.00570696
-8.69962775,0.00570696
-8.67962775,0.00570696
-8.65962775,0.01464888
-8.63962775,0.00570696
-8.61962775,0.00570696
-8.59962775,0.00570696
-8.57962775,0.00570696
-8.55962775,0.01464888
-8.53962775,0.00570696
-8.51962775,0.00570696
-8.49962775,0.00570696
-8.47962775,0.00570696
-8.45962775,0.01464888
-8.43962775,0.00570696
-8.41962775,0.01464888
-8.39962775,0.00570696
-8.37962775,0.00570696
-8.35962775,0.01464888
-8.33962775,0.00570696
-8.31962775,0.00570696
-8.29962775,0.00570696
-8.27962775,0.00570696
-8.25962776,0.00570696
-8.23962776,0.00570696
-8.21962776,0.01464888
-8.19962776,0.00570696
