Время,Канал A
(uс),(В)

-10.25892561,0.01464888
-10.23892561,0.01464888
-10.21892561,0.01464888
-10.19892561,0.01464888
-10.17892561,0.01464888
-10.15892561,0.01464888
-10.13892561,0.01464888
-10.11892561,0.01464888
-10.09892561,0.01464888
-10.07892561,0.01464888
-10.05892561,0.01464888
-10.03892561,0.01464888
-10.01892561,0.01464888
-9.99892561,0.01464888
-9.97892561,0.01464888
-9.95892561,0.01464888
-9.93892561,0.01464888
-9.91892562,0.01464888
-9.89892562,0.01464888
-9.87892562,0.01464888
-9.85892562,0.01464888
-9.83892562,0.01464888
-9.81892562,0.01464888
-9.79892562,0.01464888
-9.77892562,0.01464888
-9.75892562,0.01464888
-9.73892562,0.01464888
-9.71892562,0.01464888
-9.69892562,0.01464888
-9.67892562,0.01464888
-9.65892562,0.01464888
-9.63892562,0.01464888
-9.61892562,0.01464888
-9.59892562,0.01464888
-9.57892562,0.01464888
-9.55892562,0.01464888
-9.53892562,0.01464888
-9.51892562,0.01464888
-9.49892562,0.01464888
-9.47892562,0.01464888
-9.45892562,0.01464888
-9.43892562,0.01464888
-9.41892562,0.01464888
-9.39892562,0.01464888
-9.37892562,0.01464888
-9.35892562,0.01464888
-9.33892562,0.01464888
-9.31892562,0.01464888
-9.29892562,0.01464888
-9.27892562,0.01464888
-9.25892562,0.01464888
-9.23892562,0.01464888
-9.21892562,0.01464888
-9.19892562,0.01464888
-9.17892562,0.01464888
-9.15892562,0.01464888
-9.13892562,0.01464888
-9.11892562,0.01464888
-9.09892562,0.01464888
-9.07892562,0.01464888
-9.05892562,0.01464888
-9.03892562,0.01464888
-9.01892562,0.01464888
-8.99892562,0.01464888
-8.97892562,0.01464888
-8.95892562,0.01464888
-8.93892562,0.01464888
-8.91892562,0.01464888
-8.89892562,0.01464888
-8.87892562,0.01464888
-8.85892562,0.01464888
-8.83892562,0.01464888
-8.81892562,0.01464888
-8.79892562,0.01464888
-8.77892562,0.01464888
-8.75892562,0.01464888
-8.73892562,0.01464888
-8.71892562,0.01464888
-8.69892562,0.01464888
-8.67892562,0.01464888
-8.65892562,0.01464888
-8.63892562,0.01464888
-8.61892562,0.01464888
-8.59892562,0.01464888
-8.57892562,0.01464888
-8.55892562,0.01464888
-8.53892562,0.01464888
-8.51892562,0.00570696
-8.49892562,0.01464888
-8.47892562,0.01464888
-8.45892562,0.01464888
-8.43892562,0.01464888
-8.41892562,0.01464888
-8.39892562,0.01464888
-8.37892562,0.01464888
-8.35892562,0.01464888
-8.33892562,0.01464888
-8.31892562,0.01464888
-8.29892562,0.01464888
-8.27892563,0.01464888
-8.25892563,0.01464888
-8.23892563,0.00570696
-8.21892563,0.00570696
-8.19892563,0.01464888
