Время,Канал A
(uс),(В)

-10.25087113,0.00570696
-10.23087113,0.00570696
-10.21087113,0.00570696
-10.19087113,0.00570696
-10.17087113,0.01464888
-10.15087113,0.00570696
-10.13087113,0.01464888
-10.11087113,0.00570696
-10.09087113,0.01464888
-10.07087113,0.00570696
-10.05087113,0.00570696
-10.03087113,0.00570696
-10.01087113,0.00570696
-9.99087113,0.00570696
-9.97087113,0.00570696
-9.95087113,0.01464888
-9.93087113,0.00570696
-9.91087113,0.01464888
-9.89087113,0.01464888
-9.87087113,0.00570696
-9.85087113,0.00570696
-9.83087113,0.00570696
-9.81087113,0.01464888
-9.79087113,0.00570696
-9.77087113,0.01464888
-9.75087113,0.01464888
-9.73087113,0.00570696
-9.71087113,0.00570696
-9.69087113,0.01464888
-9.67087113,0.01464888
-9.65087113,0.00570696
-9.63087113,0.01464888
-9.61087113,0.01464888
-9.59087113,0.00570696
-9.57087113,0.00570696
-9.55087113,0.00570696
-9.53087113,0.00570696
-9.51087113,0.00570696
-9.49087113,0.01464888
-9.47087113,0.00570696
-9.45087113,0.01464888
-9.43087113,0.00570696
-9.41087113,0.01464888
-9.39087113,0.01464888
-9.37087113,0.00570696
-9.35087113,0.01464888
-9.33087113,0.00570696
-9.31087113,0.00570696
-9.29087113,0.00570696
-9.27087113,0.00570696
-9.25087113,0.00570696
-9.23087113,0.01464888
-9.21087113,0.00570696
-9.19087113,0.01464888
-9.17087113,0.00570696
-9.15087113,0.01464888
-9.13087113,0.01464888
-9.11087113,0.01464888
-9.09087113,0.00570696
-9.07087114,0.01464888
-9.05087114,0.01464888
-9.03087114,0.00570696
-9.01087114,0.01464888
-8.99087114,0.00570696
-8.97087114,0.00570696
-8.95087114,0.01464888
-8.93087114,0.01464888
-8.91087114,0.00570696
-8.89087114,0.01464888
-8.87087114,0.00570696
-8.85087114,0.01464888
-8.83087114,0.01464888
-8.81087114,0.01464888
-8.79087114,0.00570696
-8.77087114,0.01464888
-8.75087114,0.00570696
-8.73087114,0.01464888
-8.71087114,0.01464888
-8.69087114,0.01464888
-8.67087114,0.01464888
-8.65087114,0.01464888
-8.63087114,0.01464888
-8.61087114,0.01464888
-8.59087114,0.01464888
-8.57087114,0.01464888
-8.55087114,0.00570696
-8.53087114,0.01464888
-8.51087114,0.01464888
-8.49087114,0.01464888
-8.47087114,0.00570696
-8.45087114,0.01464888
-8.43087114,0.00570696
-8.41087114,0.01464888
-8.39087114,0.01464888
-8.37087114,0.01464888
-8.35087114,0.01464888
-8.33087114,0.01464888
-8.31087114,0.01464888
-8.29087114,0.01464888
-8.27087114,0.01464888
-8.25087114,0.01464888
-8.23087114,0.01464888
-8.21087114,0.01464888
-8.19087114,0.01464888
