Время	Канал A
(uс)	(В)

-10.24488301	0.00570696
-10.22488301	0.01464888
-10.20488302	0.00570696
-10.18488302	0.00570696
-10.16488302	0.00570696
-10.14488302	0.00570696
-10.12488302	0.00570696
-10.10488302	0.00570696
-10.08488302	0.00570696
-10.06488302	0.00570696
-10.04488302	0.00570696
-10.02488302	0.00570696
-10.00488302	0.00570696
-9.98488302	0.00570696
-9.96488302	0.00570696
-9.94488302	0.00570696
-9.92488302	0.01464888
-9.90488302	0.00570696
-9.88488302	0.00570696
-9.86488302	0.00570696
-9.84488302	0.00570696
-9.82488302	0.01464888
-9.80488302	0.00570696
-9.78488302	0.00570696
-9.76488302	0.00570696
-9.74488302	0.00570696
-9.72488302	0.00570696
-9.70488302	0.00570696
-9.68488302	0.00570696
-9.66488302	0.00570696
-9.64488302	0.01464888
-9.62488302	0.00570696
-9.60488302	0.00570696
-9.58488302	0.00570696
-9.56488302	0.01464888
-9.54488302	0.01464888
-9.52488302	0.00570696
-9.50488302	0.00570696
-9.48488302	0.00570696
-9.46488302	0.00570696
-9.44488302	0.00570696
-9.42488302	0.01464888
-9.40488302	0.00570696
-9.38488302	0.00570696
-9.36488302	0.01464888
-9.34488302	0.00570696
-9.32488302	0.01464888
-9.30488302	0.00570696
-9.28488302	0.01464888
-9.26488302	0.01464888
-9.24488302	0.00570696
-9.22488302	0.00570696
-9.20488302	0.00570696
-9.18488302	0.01464888
-9.16488302	0.00570696
-9.14488302	0.00570696
-9.12488302	0.00570696
-9.10488302	0.00570696
-9.08488302	0.00570696
-9.06488302	0.00570696
-9.04488302	0.01464888
-9.02488302	0.00570696
-9.00488302	0.00570696
-8.98488302	0.00570696
-8.96488302	0.01464888
-8.94488302	0.00570696
-8.92488302	0.01464888
-8.90488302	0.00570696
-8.88488302	0.01464888
-8.86488302	0.00570696
-8.84488302	0.00570696
-8.82488302	0.00570696
-8.80488302	0.00570696
-8.78488302	0.01464888
-8.76488302	0.00570696
-8.74488302	0.00570696
-8.72488302	0.00570696
-8.70488302	0.00570696
-8.68488302	0.00570696
-8.66488302	0.00570696
-8.64488302	0.00570696
-8.62488302	0.00570696
-8.60488302	0.00570696
-8.58488302	0.01464888
-8.56488303	0.00570696
-8.54488303	0.01464888
-8.52488303	0.00570696
-8.50488303	0.01464888
-8.48488303	0.01464888
-8.46488303	0.01464888
-8.44488303	0.00570696
-8.42488303	0.01464888
-8.40488303	0.00570696
-8.38488303	0.01464888
-8.36488303	0.01464888
-8.34488303	0.01464888
-8.32488303	0.01464888
-8.30488303	0.01464888
-8.28488303	0.01464888
-8.26488303	0.00570696
-8.24488303	0.01464888
-8.22488303	0.01464888
-8.20488303	0.01464888
-8.18488303	0.01464888
