Время	Канал A
(uс)	(В)

-10.25398615	0.00570696
-10.23398615	0.00570696
-10.21398615	0.00570696
-10.19398615	0.00570696
-10.17398615	0.00570696
-10.15398615	0.00570696
-10.13398615	0.00570696
-10.11398615	0.00570696
-10.09398615	0.00570696
-10.07398615	0.00570696
-10.05398615	0.00570696
-10.03398615	0.00570696
-10.01398615	0.00570696
-9.99398615	0.00570696
-9.97398615	0.00570696
-9.95398615	0.00570696
-9.93398615	0.00570696
-9.91398615	0.00570696
-9.89398615	0.00570696
-9.87398615	0.00570696
-9.85398615	0.01464888
-9.83398615	0.00570696
-9.81398615	0.01464888
-9.79398615	0.01464888
-9.77398615	0.00570696
-9.75398615	0.00570696
-9.73398615	0.00570696
-9.71398615	0.00570696
-9.69398615	0.00570696
-9.67398615	0.00570696
-9.65398615	0.00570696
-9.63398615	0.00570696
-9.61398615	0.00570696
-9.59398615	0.00570696
-9.57398615	0.01464888
-9.55398615	0.00570696
-9.53398615	0.00570696
-9.51398615	0.00570696
-9.49398615	0.01464888
-9.47398615	0.01464888
-9.45398615	0.00570696
-9.43398615	0.00570696
-9.41398615	0.01464888
-9.39398615	0.01464888
-9.37398615	0.00570696
-9.35398615	0.01464888
-9.33398615	0.00570696
-9.31398615	0.00570696
-9.29398615	0.00570696
-9.27398615	0.01464888
-9.25398615	0.01464888
-9.23398615	0.01464888
-9.21398615	0.01464888
-9.19398615	0.01464888
-9.17398615	0.00570696
-9.15398615	0.01464888
-9.13398615	0.01464888
-9.11398615	0.00570696
-9.09398615	0.01464888
-9.07398615	0.01464888
-9.05398615	0.01464888
-9.03398615	0.01464888
-9.01398615	0.01464888
-8.99398615	0.01464888
-8.97398616	0.01464888
-8.95398616	0.01464888
-8.93398616	0.00570696
-8.91398616	0.01464888
-8.89398616	0.01464888
-8.87398616	0.01464888
-8.85398616	0.01464888
-8.83398616	0.01464888
-8.81398616	0.00570696
-8.79398616	0.00570696
-8.77398616	0.01464888
-8.75398616	0.01464888
-8.73398616	0.01464888
-8.71398616	0.01464888
-8.69398616	0.01464888
-8.67398616	0.01464888
-8.65398616	0.01464888
-8.63398616	0.01464888
-8.61398616	0.01464888
-8.59398616	0.01464888
-8.57398616	0.01464888
-8.55398616	0.01464888
-8.53398616	0.00570696
-8.51398616	0.00570696
-8.49398616	0.01464888
-8.47398616	0.00570696
-8.45398616	0.01464888
-8.43398616	0.01464888
-8.41398616	0.01464888
-8.39398616	0.01464888
-8.37398616	0.01464888
-8.35398616	0.00570696
-8.33398616	0.00570696
-8.31398616	0.00570696
-8.29398616	0.00570696
-8.27398616	0.01464888
-8.25398616	0.01464888
-8.23398616	0.01464888
-8.21398616	0.01464888
-8.19398616	0.01464888
