25.10.2018   N1108
Образец: "28_Ni"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2085     370    1045     0,0
   2090     504    1048     0,0
   2095     471    1050     0,0
   2100     572    1052     0,0
   2105     404    1055    67,3
   2110     404    1057    33,6
   2115     404    1060    67,3
   2120     538    1062    33,6
   2125     336    1065    33,6
   2130     404    1067     0,0
   2135     336    1070    33,6
   2140     235    1072     0,0
   2145     370    1075     0,0
   2150     404    1077     0,0
   2155     303    1080     0,0
   2160     303    1082     0,0
   2165     404    1085     0,0
   2170     269    1087     0,0
   2175     404    1090    33,6
   2180     404    1092    33,6
   2185     437    1095     0,0
   2190     303    1097     0,0
   2195     235    1100    33,6
   2200     336    1102    33,6
   2205     269    1105    33,6
   2210     269    1107     0,0
   2215     235    1110    33,6
   2220     168    1112     0,0
   2225     336    1115    33,6
   2230     437    1117    67,3
   2235     303    1119    33,6
   2240     370    1122    33,6
   2245     471    1125     0,0
   2250     202    1127     0,0
   2255     303    1129     0,0
   2260     303    1132     0,0
   2265     135    1134     0,0
   2270     404    1137     0,0
   2275     336    1139    33,6
   2280     404    1142    33,6
   2285     235    1144     0,0
   2290     168    1147    33,6
   2295     370    1149     0,0
   2300     202    1152    33,6
   2305     370    1154     101
   2310     303    1157    33,6
   2315     336    1159     0,0
   2320     269    1162    33,6
   2325     336    1164    33,6
   2330     235    1167    33,6
   2335     168    1169    33,6
   2340     101    1172     0,0
   2345     303    1174     0,0
   2350     269    1177    33,6
   2355     303    1179    33,6
   2360     235    1182     0,0
   2365     135    1184     0,0
   2370     303    1187    33,6
   2375     303    1189    33,6
   2380     202    1192     0,0
   2385     168    1194    33,6
   2390     303    1197    67,3
   2395     101    1199    33,6
   2400     168    1202    33,6
   2405     202    1204    33,6
   2410     336    1207     0,0
   2415     101    1209    33,6
   2420    67,3    1212     0,0
   2425     572    1214     135
   2430     269    1216     0,0
   2435     235    1219    67,3
   2440     235    1221     0,0
   2445     101    1224     0,0
   2450     202    1226    33,6
   2455     269    1229     0,0
   2460     135    1231     0,0
   2465     168    1234     0,0
   2470     135    1236    33,6
   2475     202    1239     0,0
   2480     168    1241     101
   2485     269    1244     0,0
   2490     101    1246    67,3
   2495     303    1249    33,6
   2500     168    1251     0,0
   2505     135    1254    67,3
   2510     235    1256     0,0
   2515     168    1259    33,6
   2520     101    1261     0,0
   2525     235    1264     101
   2530     101    1266     0,0
   2535     269    1269     101
   2540     202    1271     0,0
   2545    67,3    1274    33,6
   2550     135    1276    67,3
   2555     101    1279    33,6
   2560     202    1281     0,0
   2565     135    1284     101
   2570     202    1286    33,6
   2575     235    1289    33,6
   2580    67,3    1291     0,0
   2585     202    1294     0,0
   2590     202    1296    67,3
   2595    67,3    1299    33,6
   2600     168    1301    67,3
   2605     202    1304    33,6
   2610     101    1306    67,3
   2615    67,3    1309     0,0
   2620     168    1311     0,0
   2625     235    1314    67,3
   2630     168    1316    33,6
   2635     404    1319     101
   2640    67,3    1321    67,3
   2645    67,3    1324     0,0
   2650    67,3    1326     0,0
   2655     101    1328    33,6
   2660     168    1331    33,6
   2665     235    1333     101
   2670    67,3    1336     0,0
   2675    67,3    1338     101
   2680     168    1341    33,6
   2685     101    1343    67,3
   2690     168    1346     0,0
   2695     135    1348     101
   2700     135    1351     0,0
   2705    67,3    1353    67,3
   2710     135    1356    67,3
   2715     168    1358     101
   2720    33,6    1361    67,3
   2725     101    1363    33,6
   2730     101    1366    33,6
   2735    67,3    1368    33,6
   2740     101    1371     101
   2745    67,3    1373    33,6
   2750     168    1376    33,6
   2755    67,3    1378    67,3
   2760     168    1381     0,0
   2765     0,0    1383    67,3
   2770     135    1386    67,3
   2775     101    1388    67,3
   2780     101    1391     0,0
   2785    67,3    1393    33,6
   2790     0,0    1396     0,0
   2795     101    1398    33,6
   2800    67,3    1401    67,3
   2805    67,3    1403    67,3
   2810     101    1406    67,3
   2815    67,3    1408    67,3
   2820     101    1411     101
   2825    67,3    1413     101
   2830     0,0    1416    67,3
   2835    33,6    1418    67,3
   2840     168    1420     101
   2845    33,6    1423    67,3
   2850    67,3    1425     168
   2855     0,0    1428     135
   2860    67,3    1430    33,6
   2865    33,6    1433    67,3
   2870    67,3    1435     101
   2875    67,3    1438    33,6
   2880    67,3    1440     0,0
   2885     101    1443     135
   2890     0,0    1445     0,0
   2895    67,3    1448     135
   2900     101    1450     101
   2905    33,6    1453     135
   2910    67,3    1455    67,3
   2915     135    1458     135
   2920    67,3    1460    67,3
   2925     168    1463     135
   2930    33,6    1465    67,3
   2935    33,6    1468    33,6
   2940    67,3    1470    33,6
   2945     101    1473    67,3
   2950    67,3    1475    33,6
   2955    33,6    1478    33,6
   2960    67,3    1480    67,3
   2965     0,0    1483    67,3
   2970    67,3    1485     202
   2975     0,0    1488     202
   2980    33,6    1490     235
   2985    33,6    1493     370
   2990     0,0    1495    1144
   2995     303    1498    6155
   3000     572    1500    6928
   3005     135    1503    2287
   3010     101    1505     605
   3015    67,3    1508     471
   3020    33,6    1510     202
   3025     0,0    1513     202
   3030     0,0    1515     202
   3035     0,0    1518     235
   3040     0,0    1520    67,3
   3045    67,3    1523     135
   3050     0,0    1525     135
   3055     0,0    1528     135
   3060    67,3    1530     101
   3065    67,3    1533     0,0
   3070    33,6    1535    33,6
   3075     0,0    1538     135
   3080     0,0    1540     135
   3085     0,0    1543    67,3
   3090    67,3    1545    33,6
   3095    67,3    1548     135
   3100     0,0    1550    33,6
   3105     0,0    1553     135
   3110     0,0    1555     0,0
   3115    33,6    1558    67,3
   3120     0,0    1560     101
   3125     0,0    1562    33,6
   3130     0,0    1565     135
   3135     0,0    1568     135
   3140    67,3    1570     135
   3145     0,0    1573     135
   3150     0,0    1575     0,0
   3155    67,3    1577     135
   3160    33,6    1580    67,3
   3165     0,0    1583    67,3
   3170     0,0    1585     235
   3175     0,0    1587    67,3
   3180     0,0    1590    67,3
   3185    33,6    1592    33,6
   3190     0,0    1595    33,6
   3195    33,6    1597     101
   3200    33,6    1600     168
   3205    67,3    1602     0,0
   3210     0,0    1605    33,6
   3215     0,0    1607     168
