25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\25_Mn"
LiF200
Трубка: "40.0/0.100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2010     134    1008    67.2
   2015    67.2    1010    33.6
   2020     202    1013    67.2
   2025     168    1015    67.2
   2030     134    1018    33.6
   2035    33.6    1020    33.6
   2040     134    1023    33.6
   2045     101    1025    33.6
   2050     168    1028    33.6
   2055    67.2    1030    33.6
   2060     134    1033     0.0
   2065     235    1035     0.0
   2070     202    1038    33.6
   2075     303    1040    67.2
   2080     390    1043    29.0
   2081     451    1043    26.0
   2082     572    1043    29.0
   2083     679    1044    26.0
   2084     747    1044    39.0
   2085     881    1045    30.0
   2086    1149    1046    22.0
   2087    1342    1046    31.0
   2088    1913    1047    24.0
   2089    2983    1047    24.0
   2090    4849    1048    44.0
   2091    7618    1048    45.0
   2092   11697    1049    64.0
   2093   16864    1049     104
   2094   22430    1050     181
   2095   29273    1050     239
   2096   36174    1051     409
   2097   42264    1051     466
   2098   49245    1051     634
   2099   55297    1052     790
   2100   60388    1052     967
   2101   64933    1053    1094
   2102   67808    1053    1185
   2103   68981    1054    1137
   2104   68408    1054    1202
   2105   66752    1055    1214
   2106   64538    1055    1059
   2107   59263    1056     914
   2108   52361    1056     757
   2109   45047    1057     515
   2110   37483    1057     375
   2111   29598    1058     252
   2112   24311    1058     161
   2113   18308    1059     108
   2114   13111    1059    67.0
   2115    9188    1060    53.0
   2116    6342    1060    40.0
   2117    4230    1061    36.0
   2118    2901    1061    27.0
   2119    1888    1062    27.0
   2120    1383    1062    27.0
   2121    1005    1063    31.0
   2122     752    1063    24.0
   2123     586    1064    29.0
   2124     538    1064    36.0
   2125     454    1065    31.0
   2126     419    1065    28.0
   2127     383    1066    26.0
   2128     383    1066    31.0
   2129     368    1067    29.0
   2130     372    1067    26.0
   2135     269    1070     0.0
   2140     168    1072     0.0
   2145     168    1075    33.6
   2150     101    1077    67.2
   2155    33.6    1080    33.6
   2160    33.6    1082    33.6
   2165     101    1085    33.6
   2170     101    1087    33.6
   2175    67.2    1090     0.0
   2180     101    1092    67.2
   2185    33.6    1095     101
   2190    33.6    1097    33.6
   2195    33.6    1100    33.6
   2200    67.2    1102     0.0
   2205    33.6    1105    33.6
   2210    67.2    1107    33.6
   2215    33.6    1110     0.0
   2220    33.6    1112     0.0
   2225     0.0    1115    33.6
   2230     0.0    1117     0.0
   2235     101    1119    33.6
   2240     0.0    1122     0.0
   2245    33.6    1125     0.0
   2250     0.0    1127     0.0
   2255     0.0    1129    33.6
   2260     101    1132     0.0
   2265     0.0    1134     0.0
   2270    33.6    1137    33.6
   2275    33.6    1139     0.0
   2280    33.6    1142    33.6
   2285    33.6    1144    33.6
   2290     0.0    1147     0.0
   2295     0.0    1149     0.0
   2300     0.0    1152    33.6
   2305    33.6    1154    33.6
   2310    33.6    1157     0.0
   2315    33.6    1159    67.2
   2320     0.0    1162    33.6
   2325     0.0    1164     0.0
   2330    33.6    1167    33.6
   2335    33.6    1169     0.0
   2340     0.0    1172     0.0
   2345     101    1174    33.6
   2350     0.0    1177    33.6
   2355    33.6    1179     0.0
   2360    33.6    1182     0.0
   2365    67.2    1184     0.0
   2370     0.0    1187     0.0
   2375    33.6    1189    33.6
   2380     0.0    1192     0.0
   2385    33.6    1194    33.6
   2390     0.0    1197    33.6
   2395    33.6    1199     0.0
   2400     0.0    1202    33.6
   2405     0.0    1204     0.0
   2410    33.6    1207     0.0
   2415     0.0    1209     0.0
   2420     0.0    1212    33.6
   2425    67.2    1214     0.0
   2430    33.6    1216     0.0
   2435     0.0    1219     0.0
   2440     0.0    1221     0.0
   2445    33.6    1224     0.0
   2450     0.0    1226     0.0
   2455     0.0    1229     0.0
   2460     0.0    1231     0.0
   2465     0.0    1234     0.0
   2470    33.6    1236     0.0
   2475    33.6    1239    33.6
   2480     0.0    1241     0.0
   2485    33.6    1244    33.6
   2490    33.6    1246     0.0
   2495     0.0    1249     0.0
   2500     0.0    1251     0.0
   2505     0.0    1254     0.0
   2510     0.0    1256     0.0
   2515     101    1259     0.0
   2520     0.0    1261     0.0
   2525     0.0    1264     0.0
   2530     0.0    1266    33.6
   2535    33.6    1269     0.0
   2540    33.6    1271    33.6
   2545     0.0    1274     0.0
   2550     0.0    1276    33.6
   2555     0.0    1279     0.0
   2560    67.2    1281     0.0
   2565     0.0    1284     0.0
   2570     0.0    1286     0.0
   2575     0.0    1289     0.0
   2580     0.0    1291    33.6
   2585     101    1294     0.0
   2590     0.0    1296     0.0
   2595     0.0    1299     0.0
   2600     0.0    1301     0.0
   2605     0.0    1304    33.6
   2610     0.0    1306     0.0
   2615     0.0    1309     0.0
   2620     0.0    1311    67.2
   2625     0.0    1314    33.6
   2630    67.2    1316     0.0
   2635     0.0    1319     0.0
   2640     0.0    1321     0.0
   2645    33.6    1324     0.0
   2650     0.0    1326     0.0
   2655    33.6    1328     0.0
   2660     0.0    1331     0.0
   2665    67.2    1333     0.0
   2670    67.2    1336     0.0
   2675    33.6    1338    67.2
   2680     0.0    1341    33.6
   2685     0.0    1343     0.0
   2690    33.6    1346     0.0
   2695     0.0    1348     0.0
   2700    33.6    1351    67.2
   2705     0.0    1353     0.0
   2710     0.0    1356     0.0
   2715     0.0    1358     0.0
   2720     0.0    1361     0.0
   2725     0.0    1363     0.0
   2730     0.0    1366     0.0
   2735    33.6    1368     0.0
   2740     0.0    1371     0.0
   2745     0.0    1373     0.0
   2750     0.0    1376    33.6
   2755     0.0    1378     0.0
   2760     0.0    1381     0.0
   2765    33.6    1383    33.6
   2770    33.6    1386     0.0
   2775     0.0    1388     0.0
   2780    33.6    1391    33.6
   2785     0.0    1393     0.0
   2790    33.6    1396     0.0
   2795     0.0    1398     0.0
   2800     0.0    1401     0.0
   2805    33.6    1403    33.6
   2810     0.0    1406     0.0
   2815     0.0    1408     0.0
   2820     0.0    1411     0.0
   2825     0.0    1413     0.0
   2830     0.0    1416     0.0
   2835    33.6    1418     0.0
   2840     0.0    1420     0.0
   2845     0.0    1423     0.0
   2850     0.0    1425     0.0
   2855     0.0    1428     0.0
   2860     0.0    1430     0.0
   2865     0.0    1433     0.0
   2870     0.0    1435     0.0
   2875     0.0    1438     0.0
   2880     0.0    1440     0.0
   2885     0.0    1443     0.0
   2890     0.0    1445    33.6
   2895     0.0    1448     0.0
   2900     0.0    1450     0.0
   2905     0.0    1453    33.6
   2910     0.0    1455     0.0
   2915     0.0    1458    33.6
   2920    33.6    1460     0.0
   2925     0.0    1463     0.0
   2930     0.0    1465     0.0
   2935     0.0    1468     0.0
   2940     0.0    1470     0.0
   2945     0.0    1473     0.0
   2950     0.0    1475     0.0
   2955    33.6    1478     0.0
   2960     0.0    1480     0.0
   2965     0.0    1483     0.0
   2970     0.0    1485    33.6
   2975     0.0    1488     0.0
   2980     0.0    1490     0.0
   2985     0.0    1493    33.6
   2990     0.0    1495     0.0
   2995     0.0    1498     0.0
   3000     0.0    1500     0.0
   3005     0.0    1503     0.0
   3010    33.6    1505     0.0
   3015     0.0    1508    67.2
   3020     0.0    1510     0.0
   3025     0.0    1513     0.0
   3030     0.0    1515     0.0
   3035     0.0    1518     0.0
   3040     0.0    1520     0.0
   3045     0.0    1523     0.0
   3050     0.0    1525     0.0
   3055     0.0    1528     0.0
   3060     0.0    1530     0.0
   3065     0.0    1533     0.0
   3070     0.0    1535     0.0
   3075     0.0    1538    67.2
   3080     0.0    1540    33.6
   3085     0.0    1543     0.0
   3090     0.0    1545     0.0
   3095     0.0    1548    33.6
   3100     0.0    1550     0.0
   3105     0.0    1553     0.0
   3110     0.0    1555     0.0
   3115     0.0    1558     0.0
   3120     0.0    1560     0.0
   3125     0.0    1562     0.0
   3130     0.0    1565     0.0
   3135     0.0    1568    33.6
   3140     0.0    1570    33.6
   3145     0.0    1573     0.0
   3150     0.0    1575     0.0
   3155     0.0    1577     0.0
   3160     0.0    1580     0.0
   3165     0.0    1583     0.0
   3170     0.0    1585     0.0
   3175     0.0    1587     0.0
   3180     0.0    1590     0.0
   3185     0.0    1592     0.0
   3190     0.0    1595     0.0
   3195     0.0    1597    33.6
   3200     0.0    1600    33.6
   3205     0.0    1602     0.0
   3210     0.0    1605     0.0
   3215     0.0    1607     0.0
