25.10.2018   N1108
Образец: "C:\Documents and Settings\student\Рабочий стол\PhysLab5\26_Fe"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1929  200388     968   10860
   1930  232407     968   14560
   1931  261811     969   18151
   1932  282084     969   21243
   1933  306135     969   24337
   1934  324005     970   26749
   1935  337222     970   28231
   1936  346634     971   29318
   1937  350590     972   29800
   1938  349541     972   29713
   1939  344609     973   29411
   1940  333230     973   27393
   1941  317436     974   25315
   1942  295248     974   22014
   1943  267329     975   18175
   1944  233208     975   14093
   1945  196702     976    9937
   1946  166505     976    7029
   1947  133217     976    4332
   1948  102170     977    2548
   1949   75666     977    1442
   1950   54216     978     752
   1951   38351     978     369
   1952   26244     979     218
   1953   18430     979     106
   1954   12730     980    75,0
   1955    9090     980    48,0
   1956    6752     981    46,0
   1957    5123     981    37,0
   1958    4261     982    39,0
   1959    3542     982    30,0
   1960    3205     983    38,0
   1965    2151     985    67,2
   1970    1580     988    33,6
   1975    1176     990    33,6
   1980    1210     993    33,6
   1985     975     995    33,6
   1990     807     998    33,6
   1995     941    1000    67,2
   2000     739    1003    67,2
   2005     639    1005    33,6
   2010     403    1008    33,6
   2015     403    1010     0,0
   2020     403    1013    33,6
   2025     269    1015    33,6
   2030     403    1018     0,0
   2035     437    1020    33,6
   2040     269    1023    33,6
   2045     538    1025     0,0
   2050     303    1028     0,0
   2055     303    1030     0,0
   2060     336    1033    33,6
   2065     269    1035    33,6
   2070     202    1038    33,6
   2075     235    1040    33,6
   2080     336    1043    33,6
   2085     269    1045    33,6
   2090     336    1048    33,6
   2095    1479    1050    33,6
   2100    1949    1052    33,6
   2105    2017    1055    33,6
   2110     773    1057     0,0
   2115     471    1060     0,0
   2120     235    1062    33,6
   2125    67,2    1065    33,6
   2130     235    1067    67,2
   2135     134    1070     0,0
   2140     168    1072     0,0
   2145     303    1075    33,6
   2150     202    1077    33,6
   2155     269    1080     0,0
   2160     202    1082    33,6
   2165     134    1085    33,6
   2170     202    1087    33,6
   2175     101    1090     0,0
   2180     168    1092     0,0
   2185     101    1095    33,6
   2190    67,2    1097     0,0
   2195     101    1100    33,6
   2200     101    1102    67,2
   2205    33,6    1105     0,0
   2210     168    1107     0,0
   2215     101    1110     0,0
   2220     168    1112     0,0
   2225     168    1115     0,0
   2230     168    1117     0,0
   2235     101    1119    33,6
   2240     134    1122     0,0
   2245     202    1125     0,0
   2250     101    1127    33,6
   2255    67,2    1129     0,0
   2260     101    1132    33,6
   2265     134    1134    33,6
   2270     134    1137     0,0
   2275    67,2    1139    33,6
   2280     134    1142     0,0
   2285     202    1144    33,6
   2290     235    1147    33,6
   2295     168    1149     0,0
   2300     202    1152    33,6
   2305    67,2    1154     0,0
   2310     134    1157     0,0
   2315    33,6    1159     0,0
   2320    33,6    1162    33,6
   2325    33,6    1164     0,0
   2330    67,2    1167    33,6
   2335    67,2    1169    67,2
   2340     134    1172    33,6
   2345    67,2    1174    33,6
   2350     168    1177    33,6
   2355    67,2    1179     0,0
   2360     134    1182    67,2
   2365     168    1184     0,0
   2370     134    1187     0,0
   2375    33,6    1189     0,0
   2380    67,2    1192     0,0
   2385    67,2    1194    33,6
   2390     134    1197     0,0
   2395     168    1199    33,6
   2400    33,6    1202     0,0
   2405    67,2    1204     0,0
   2410     0,0    1207     0,0
   2415     101    1209     0,0
   2420    33,6    1212     0,0
   2425     0,0    1214    33,6
   2430    67,2    1216     0,0
   2435    33,6    1219    33,6
   2440     0,0    1221     0,0
   2445     101    1224     0,0
   2450     101    1226    33,6
   2455     101    1229     0,0
   2460     101    1231    33,6
   2465    33,6    1234     0,0
   2470     134    1236    33,6
   2475     101    1239     0,0
   2480     0,0    1241     0,0
   2485    33,6    1244     0,0
   2490     101    1246     0,0
   2495     101    1249     0,0
   2500     101    1251    33,6
   2505    33,6    1254     0,0
   2510    67,2    1256     0,0
   2515     134    1259    67,2
   2520    67,2    1261     0,0
   2525    33,6    1264    33,6
   2530    67,2    1266     0,0
   2535    33,6    1269     0,0
   2540     0,0    1271     0,0
   2545     0,0    1274     0,0
   2550    33,6    1276     0,0
   2555     101    1279    67,2
   2560    33,6    1281    33,6
   2565     0,0    1284     0,0
   2570    67,2    1286     0,0
   2575    33,6    1289     0,0
   2580     101    1291    33,6
   2585    33,6    1294    33,6
   2590     0,0    1296    33,6
   2595    67,2    1299     0,0
   2600    33,6    1301     0,0
   2605    33,6    1304     0,0
   2610    33,6    1306    33,6
   2615    67,2    1309     0,0
   2620    67,2    1311     0,0
   2625     0,0    1314     0,0
   2630     0,0    1316     0,0
   2635     0,0    1319     0,0
   2640    33,6    1321     0,0
   2645    33,6    1324     0,0
   2650     0,0    1326     0,0
   2655     0,0    1328     0,0
   2660    67,2    1331     0,0
   2665    67,2    1333     0,0
   2670    33,6    1336     0,0
   2675     0,0    1338     0,0
   2680     0,0    1341     0,0
   2685    33,6    1343     0,0
   2690     0,0    1346     0,0
   2695     0,0    1348    33,6
   2700     0,0    1351     0,0
   2705    67,2    1353    33,6
   2710     0,0    1356     0,0
   2715     0,0    1358    33,6
   2720    67,2    1361     0,0
   2725     0,0    1363     0,0
   2730     0,0    1366    33,6
   2735    67,2    1368    33,6
   2740     0,0    1371    33,6
   2745     0,0    1373     0,0
   2750     0,0    1376     0,0
   2755    67,2    1378    67,2
   2760     0,0    1381     0,0
   2765    33,6    1383     0,0
   2770     0,0    1386    33,6
   2775    67,2    1388    33,6
   2780     0,0    1391     0,0
   2785     0,0    1393     0,0
   2790     0,0    1396     0,0
   2795     101    1398    33,6
   2800    67,2    1401     0,0
   2805     0,0    1403    67,2
   2810    67,2    1406     0,0
   2815    33,6    1408     0,0
   2820     0,0    1411    33,6
   2825     0,0    1413     0,0
   2830     0,0    1416    33,6
   2835    33,6    1418     0,0
   2840    33,6    1420     0,0
   2845     0,0    1423     0,0
   2850     0,0    1425     0,0
   2855    33,6    1428     0,0
   2860     0,0    1430     0,0
   2865     0,0    1433     0,0
   2870     0,0    1435    67,2
   2875     0,0    1438     0,0
   2880    33,6    1440    67,2
   2885    33,6    1443    67,2
   2890     0,0    1445    33,6
   2895     0,0    1448    33,6
   2900     0,0    1450     0,0
   2905     0,0    1453     0,0
   2910    67,2    1455     0,0
   2915     0,0    1458     0,0
   2920    33,6    1460     0,0
   2925    33,6    1463     0,0
   2930     0,0    1465    33,6
   2935     0,0    1468     0,0
   2940    33,6    1470     0,0
   2945    33,6    1473    33,6
   2950    33,6    1475     0,0
   2955     0,0    1478     0,0
   2960     0,0    1480     0,0
   2965     0,0    1483     0,0
   2970     0,0    1485     0,0
   2975     0,0    1488     0,0
   2980     0,0    1490     0,0
   2985     0,0    1493     0,0
   2990     0,0    1495     0,0
   2995     0,0    1498     0,0
   3000    33,6    1500     0,0
   3005     0,0    1503     0,0
   3010     0,0    1505     0,0
   3015     0,0    1508     0,0
   3020     0,0    1510     0,0
   3025     0,0    1513     0,0
   3030     0,0    1515    33,6
   3035     0,0    1518     0,0
   3040     0,0    1520     0,0
   3045     0,0    1523     0,0
   3050     0,0    1525     0,0
   3055     0,0    1528     0,0
   3060     0,0    1530    33,6
   3065     0,0    1533     0,0
   3070     0,0    1535     0,0
   3075     0,0    1538    33,6
   3080     0,0    1540    33,6
   3085    33,6    1543    33,6
   3090     0,0    1545    67,2
   3095     0,0    1548     0,0
   3100     0,0    1550    33,6
   3105    33,6    1553     0,0
   3110     0,0    1555    33,6
   3115     0,0    1558     0,0
   3120     0,0    1560     0,0
   3125    33,6    1562     0,0
   3130     0,0    1565     0,0
   3135     0,0    1568     0,0
   3140    33,6    1570     0,0
   3145     0,0    1573     0,0
   3150     0,0    1575     0,0
   3155     0,0    1577     0,0
   3160     0,0    1580     0,0
   3165     0,0    1583    33,6
   3170     0,0    1585     0,0
   3175     0,0    1587     0,0
   3180     0,0    1590    33,6
   3185     0,0    1592    33,6
   3190     0,0    1595     0,0
   3195     0,0    1597     0,0
   3200     0,0    1600     0,0
   3205     0,0    1602     0,0
   3210     0,0    1605     0,0
   3215     0,0    1607    33,6
