25.10.2018   N1108
Образец: "22_Ti"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2150    33,5    1077     0,0
   2155    67,1    1080     0,0
   2160    33,5    1082     0,0
   2165    67,1    1085    33,5
   2170     0,0    1087    33,5
   2175    67,1    1090    33,5
   2180    33,5    1092    33,5
   2185    33,5    1095    33,5
   2190     0,0    1097    33,5
   2195     134    1100     0,0
   2200     101    1102    33,5
   2205     0,0    1105     0,0
   2210    67,1    1107    33,5
   2215    67,1    1110    67,1
   2220    67,1    1112    67,1
   2225     101    1115    33,5
   2230     0,0    1117     0,0
   2235    33,5    1119     0,0
   2240    33,5    1122    33,5
   2245     0,0    1125    33,5
   2250    67,1    1127     0,0
   2255    33,5    1129     0,0
   2260    33,5    1132    33,5
   2265    33,5    1134     0,0
   2270     0,0    1137    33,5
   2275    33,5    1139    33,5
   2280     0,0    1142    33,5
   2285    67,1    1144    33,5
   2290     0,0    1147    67,1
   2295     168    1149    33,5
   2300    33,5    1152    33,5
   2305    67,1    1154     0,0
   2310     0,0    1157    33,5
   2315    33,5    1159    33,5
   2320    67,1    1162    33,5
   2325    33,5    1164     0,0
   2330    33,5    1167    33,5
   2335    67,1    1169     0,0
   2340     0,0    1172     0,0
   2345     0,0    1174     0,0
   2350    33,5    1177    67,1
   2355    67,1    1179    33,5
   2360    33,5    1182     0,0
   2365     0,0    1184     0,0
   2370    33,5    1187     0,0
   2375    67,1    1189     0,0
   2380    33,5    1192     0,0
   2385     0,0    1194    33,5
   2390    33,5    1197    33,5
   2395     0,0    1199     0,0
   2400     0,0    1202    33,5
   2405    67,1    1204     0,0
   2410     0,0    1207     0,0
   2415    33,5    1209     0,0
   2420     0,0    1212    33,5
   2425    67,1    1214     0,0
   2430     0,0    1216     0,0
   2435    33,5    1219    33,5
   2440     0,0    1221    33,5
   2445    33,5    1224     0,0
   2450    67,1    1226     0,0
   2455     0,0    1229     0,0
   2460     0,0    1231    67,1
   2465    33,5    1234    33,5
   2470    33,5    1236     0,0
   2475     101    1239     0,0
   2480    33,5    1241    33,5
   2485     0,0    1244    33,5
   2490    67,1    1246     0,0
   2495     470    1249    33,5
   2500     403    1251     0,0
   2505    2382    1254     0,0
   2510    6106    1256    33,5
   2515    7548    1259     0,0
   2520    2516    1261     0,0
   2525     939    1264     0,0
   2530     268    1266     0,0
   2535     201    1269     0,0
   2540    67,1    1271     0,0
   2545     235    1274     0,0
   2550     134    1276     0,0
   2555     168    1279    33,5
   2560     201    1281     0,0
   2565     101    1284     0,0
   2570     0,0    1286    33,5
   2575     168    1289     0,0
   2580    33,5    1291     0,0
   2585     134    1294     0,0
   2590     0,0    1296    33,5
   2595    33,5    1299     0,0
   2600     0,0    1301    33,5
   2605     0,0    1304    33,5
   2610    33,5    1306    33,5
