25.10.2018   N1108
Образец: "Chinese_Precise"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1448     487     729     155
   1449     458     729     164
   1450     464     730     143
   1451     494     730     158
   1452     475     731     132
   1453     446     731     173
   1454     417     732     139
   1455     413     732     153
   1456     417     733     175
   1457     398     733     142
   1458     437     734     162
   1459     419     734     182
   1460     396     735     171
   1461     435     735     161
   1462     370     736     150
   1463     389     736     152
   1464     415     737     139
   1465     395     737     150
   1466     385     738     153
   1467     375     738     149
   1468     373     739     147
   1469     399     739     141
   1470     363     740     136
   1471     379     740     150
   1472     394     741     150
   1473     395     741     134
   1474     400     742     163
   1475     405     742     134
   1476     417     743     157
   1477     382     743     137
   1478     384     744     129
   1479     397     744     157
   1480     363     745     139
   1481     409     745     149
   1482     386     746     152
   1483     381     746     127
   1484     381     747     140
   1485     406     747     156
   1486     369     748     135
   1487     405     748     125
   1488     398     749     157
   1489     405     749     111
   1490     401     750     143
   1491     377     750     129
   1492     404     751     131
   1493     348     751     162
   1494     397     752     130
   1495     352     752     125
   1496     378     753     143
   1497     362     753     128
   1498     376     754     141
   1499     371     754     165
   1500     354     755     145
   1501     394     755     135
   1502     361     756     149
   1503     394     756     140
   1504     359     757     135
   1505     368     757     133
   1506     389     758     131
   1507     358     758     114
   1508     367     759     133
   1509     403     759     126
   1510     337     760     129
   1511     344     760     142
   1512     349     761     125
   1513     353     761     126
   1514     347     762     135
   1515     343     762     138
   1516     348     763     121
   1517     332     763     142
   1518     370     764     139
   1519     370     764     145
   1520     336     765     120
   1521     364     765     137
   1522     372     766     131
   1523     378     766     122
   1524     371     767     128
   1525     416     767     122
   1526     472     768     128
   1527     553     768     120
   1528     582     769     120
   1529     643     769     118
   1530     750     770     128
   1531     853     770     121
   1532     948     770     117
   1533    1003     771     120
   1534    1089     771     110
   1535    1179     772     127
   1536    1253     772     136
   1537    1349     773     138
   1538    1388     773     137
   1539    1422     774     144
   1540    1493     774     130
   1541    1409     775     127
   1542    1343     775     135
   1543    1409     776     118
   1544    1360     776     120
   1545    1359     777     116
   1546    1315     777     124
   1547    1266     778     126
   1548    1199     778     145
   1549    1045     779     125
   1550     999     779     142
   1555     571     782     134
   1560     403     784     134
   1565     403     787     134
   1570     303     789     101
   1575     336     792     101
   1580     370     794    67,2
   1585     437     797     134
   1590     303     799     134
   1595     303     802     134
   1600     336     804     134
   1605     202     807     134
   1610     168     809     101
   1615     235     812    67,2
   1620     269     814    67,2
   1625     336     817     101
   1630     235     819     134
   1635     101     822     134
   1640     168     824     101
   1645     269     827     101
   1650     403     829     134
   1655     370     832     168
   1660     336     834     134
   1665     269     836    67,2
   1670     202     839    33,6
   1675     134     841    33,6
   1680     235     844    67,2
   1685     202     846    67,2
   1690     202     849    67,2
   1695     202     851    67,2
   1700     168     854    67,2
   1705     336     856    67,2
   1710     202     859     101
   1715    67,2     861     101
   1720     101     864    67,2
   1725     168     866     101
   1730     101     869     101
   1735     168     871     101
   1740     168     874     134
   1745     235     876     168
   1750     269     879     134
   1755     403     881     101
   1760     403     884     134
   1765     336     886     101
   1770     134     889    33,6
   1775     202     891    33,6
   1780     168     894    67,2
   1785     101     896    67,2
   1790    67,2     899     101
   1795     134     901     101
   1800     101     903     101
   1805     101     906    33,6
   1810     101     908    67,2
   1815     168     911    67,2
   1820     134     913    67,2
   1825     134     916    33,6
   1830     101     918    67,2
   1835    67,2     921     101
   1840     101     923     134
   1845     101     926     101
   1850    67,2     928     101
   1855     101     931    67,2
   1860     101     933    67,2
   1865     134     936    67,2
   1870    33,6     938    33,6
   1875     134     941    67,2
   1880    33,6     943     101
   1885    67,2     946    67,2
   1890    67,2     948    67,2
   1895     101     951     101
   1900    67,2     953     101
   1905     101     956     101
   1910    67,2     958    33,6
   1915    33,6     961    33,6
   1920     134     963    33,6
   1925     571     966    67,2
   1930    1008     968    67,2
